Emotion,Text
positive,thanks follow loving energy site help drawn http
negative,new dryer delivered today excitement year
positive,anytime anywhere hook blocked due breakdown delay minute avoid delay
negative,one summer camping friend devised elaborate plan scare camp wild animal one convincing home satanic organization
negative,heh aye investigated properly first asking seem like obvious thing though
negative,street fighter iv skill lacking beat seth easy
positive,high five fan finally write fancy news post shortly wanted get mod soon possible
negative,tall ups down leg pain
negative,got beat super
positive,back office hectic week weekend awesome
negative,one time particular go sleep whenever feel tired
negative,hold unemployment hoping get call completed need get daughter school looking good
positive,yep looking forward
negative,writing fun peer becomes scary start sending work judged amp rejected
negative,agitated tear
negative,graduation next sunday going miss class
positive,expected content vine site http realized reach flash laughing loud
positive,watching rain reminiscing time everytime rained love life
negative,shelf ikea fell wall damage done worth least estimate
positive,wishing could seen nephew graduate kindergarten
positive,really think awesome discus
positive,longest day tomorrow work n work shoulda ovum break
positive,fat friday come early preparing afternoon carol service rehearsal
positive,thanks happy mother day mom well
positive,eating apple life thought would like know
positive,ok want u bring something
positive,http follow blog follow
negative,jeez thought sent one either guy ever
negative,living brother one day went away business left alone look house property night thief came wanted break house
positive,simplicity would make life much better would suck joy life
positive,wow easy thank
negative,one north one go
positive,look like gon awhile tired lls
negative,think really want hear
positive,christmas season officially begun watched grinch mesmerized year old lap
positive,love feeling baby kick happy face smiley
positive,hahaha tv really thing anyway music girl
negative,gun would shoot foot back
negative,work one pain as spammer
negative,totalgunner marijuana usually lacking latter currently
negative,lolol trying morning sadly could
negative,trying put pic work
positive,thebodyshopuk anticipation still pregnant christmas day bringing
negative,tap shoulder forgotten
positive,usual queue full many stinky well
positive,bored fuck lucky skool
positive,undressed take shower realized shade
positive,random quote love stuff like
positive,happy mother day mom love
negative,revrunwisdom afraid tomorrow seen yesterday love today le
negative,way door finish putting veggie plant garden demolished last wk
negative,going seriously scale back dems new job frown sad andry pouting
negative,really wish spoiled
negative,validation link email instantly expired could attempt try software
positive,welcome twitter friend going love
positive,yeah got text well summer break week far boring watch tennis match
positive,lmfao um bye party
negative,happy sad may soul rest peace
negative,thought saw cory bus stop
negative,maybe wrong week could stayed good
negative,sorry mum
negative,going miss live comet action tomorrow go take care cousin access
negative,spending day chatting steve computer going work
positive,catching week lost grey house quiet
negative,shot horrified look
positive,morning giveaway http mod kid emma pattern amp go check
positive,feel home back church
positive,right time happy face
positive,greeted sympathetic rather amused smile
positive,comeback fact happy face smiley proud
negative,walked tutorial mental wind lecturer turn
positive,watching four year old fight mommy play house
positive,finally eating food room alone
negative,walking home friend night along quiet street something started rustling bush exhibitionist
negative,weather related tweet
negative,walking uni heavy heart
negative,e facil lo de e largo tongue sticking cheeky playful blowing raspberry muy largo
positive,goin mall going see movie ghost gfs past hope good top goin alone ilook cute feel good
positive,trying decide getting besties christmas know love whatever get maybe happy face smiley
positive,shoulda went home beat fuck
positive,reason going hate wrestling walked door
positive,good morning early feeling design life thanks manics phrase
positive,christmas time landon paige read night christmas watched charlie brown christmas special
positive,finally finished one part assignment
negative,oh know brody erin
negative,would heartbroken father wedding
positive,aww mom appreciate much leave tour
negative,fiona sad room megan suitcase http
positive,congratulation lovely japanese child happy hi
positive,listening lily allen last album quite good
negative,looking forward short work week followed clemson
negative,sorry late
negative,wow impressive luckily rush feel friend getting younger move house tricky
negative,chilling sofa hate feel sooo ill
negative,respect human life even
negative,rather important exam caught red handed copying
negative,time play tiger wood see controller make night
negative,know keep wild dog else able situation use life
negative,house jesus amp virgin mary ring one machine rocked one til shit broke
positive,take kid school half hour early go swimming get cold bored playground
negative,say ready chow fuck ordering drink oh pirate broken day
negative,oww bit tongue
positive,davidarchie yeahhh laughing loud
positive,thrilling time da roadtrip nice driving paulo http
negative,dawnrichard least luggage came came back paris airline lost luggage
negative,better hurry would labeled copycat
positive,feeling accomplished tonight found new yoga class love baked yummy treat work caught old friend
positive,power station today
positive,beyond think could make bathroom bedroom naked shower hiya brother mate
negative,andy said hour ago hope actually
positive,follows back
negative,laughing loud friend problem different guild fuck wrong server
positive,anyone know site like swedish site quot quot great useful quot quot liverpool
negative,accept anything
negative,writing exam saturday illegal weekend
positive,well every concert go price school got lunch detention
negative,sad john sarah trigger charged abusing son rope mark around neck http
negative,need leave one follow footstep
negative,way tell man love ten year older hurt
positive,justinbieber go bieber go bieber party rocker nice big oh sexy know
positive,anywhere mind long superman good music sweet
positive,oh boy almost time go work
negative,fought printer hour claim victory hate
negative,saying good bye ronald today difficult sad well miss
negative,two drug addict tried take away money
positive,best mozart movie got kicked high school chorus missed trip hawaii
negative,threw holder floor note exam inside got mixed
negative,sound shitty
negative,believe memory chose today remind hate
negative,fuck talk horrible people nice bitch
negative,sitting around fuck tired
negative,traffic horrific jus want gt dog
negative,feeling like ish want go home go
negative,frustrated kid easily pissed
positive,listening christmas music
positive,cute girl finished timing fool editing stage waiting spot translation
negative,great day nba back kentucky beat tennessee joker beast tweet
negative,uber bored atm blue shower watch house vid csi csi ny bone double yay
negative,work go getting high balance low
negative,packed home still day left frown sad andry pouting
positive,laughed today hopeful thing
positive,thank
positive,great show friday champ enjoyed
negative,ok turn twitter device update get new battery phone go fully charged dead hour
negative,since morning body felt two electric shock touching
positive,best could proof crack laughing loud http
negative,know feel horrible think mom would suspicious since bed straight day thnx anyways
negative,leaving nola today counting second start cry love place much
positive,really wearing athletic pant school
positive,joey seemed bewildered put one large hand mother shoulder
positive,nine clock sunday morning outside sat around table enjoying early ray sun reading twitter article sunday time
negative,msn crash way much hmph
negative,hearing death grandfather first could believe later wept felt situation hopeless felt lonely wanted
positive,laughing loud bad taken
positive,happy mother day fabulous mom world would run without u keep good work enjoy day
negative,organization rt sum fraud keep shit big boy
negative,oh hub sick hope catch
positive,twitter jail today happy face smiley
negative,bother ing celebs eh almost like talking
negative,discovered boyfriend another girl discovered letter wrote girl away asked accepted
positive,try cabinet full fun sec amp make job joyful hire temp either
negative,staging environment private server logged cm opening new window many connection wtf
positive,first completed exam hr instead alloted
positive,work today time bake cooky stoked
negative,chilling room computer
positive,havin much better day today finished last twilight book yesterday class start next week get
positive,followfriday easy enough annoyed recommend relatively people anyway
positive,nice one hope others appreciate
negative,ya know texted today text back frown sad andry pouting
negative,said bye girl see next august spending month mentor
negative,sorry hear mom really suck
negative,thanks cute home many year seen person
positive,stupid law exam till crushed
negative,well sad te reason
negative,friend left tomorrow birthday
negative,phone get tweet unless check twitter skeptical annoyed undecided uneasy hesitant
positive,ten minute shopping demi around demi enemy line seen titanic trailer really good
negative,great session sun miserable cu go pub
positive,know inlove katyperry actually
positive,ok ahhh last chance go school chemistry exam
positive,let girl go amp got touch god heart
negative,going work ill home going look camera since must lost house everyone wonderful day
positive,laugh as bride today echo quot bought ring together knew going happen know
negative,went saw tweet mb telling truth wtf going investigate
negative,missing mine everybody else east coast
negative,life short know wish everybody would
negative,know late
negative,duncan could imagine anger forced another emergency manoeuvre
positive,waiting black eyed pea go got backstage pass thanks thanks hun
negative,loldarian oh goodness srry hear
positive,look class water splash look real looking forward review copy wink smirk
negative,sad anyone allergic nutella nut right bendito
negative,ashamed making harder people accept
positive,angelibarra dublin tomorrow wait hope ye excited year since last time
negative,feeling unable one idea ambition innocent young
negative,sickened learn government ec leader issue edinburgh summit sake dropped
positive,another day closer buying happy face smiley
negative,sachalan free expression revolution
negative,oh goodness trying fix pic working ugh also mom let sleep bad day
negative,oh hope feel better soon hug flu earlier month
negative,would know tell busy pay attention
negative,anyone know watch prison break tv movie itunes
positive,wait squat today
positive,elizadushku forgot bring tissue tonight service hero bad missed
positive,bad hair day amp cheer picture today
positive,love google mother day theme http
positive,good night ill almost week never taught would actually say look school tomorrow
negative,nominated officer cadet armed force name cancelled list nominee sent training
positive,blokeslib laugh as witty love
positive,tired phone walkman work like charm l need better video really thanks yesterday buying album
negative,tired climb bed fall asleep hope weekend fun couple week left
negative,nothing feel lonely city miss family
negative,many youngster feel resentful society kicking
positive,time finished essay sunday woop
negative,felt feeling one day landlord cat crept bed could cope hour half
negative,like making child talk bad parent divorce frown sad andry pouting kid ammo tool ows
positive,cool must amazing work bar
positive,got awesome hair cut todayyyy look haha homework
negative,working like hope good day talked good
positive,going pick little brother school wait face
positive,thank
positive,ashsimpsonwentz http haha head bigger awwwh laughing loud
negative,sugarland hot outside much hotter northwest
negative,good day mean sadness heartbreak never felt alone entire life compared right wtf fml
positive,ready go home
positive,haha guessing never experienced aussie summer laughing big grin laugh glass
negative,haha really going workshop school next week going plus car broken right
positive,nope thank god air real application code
positive,yeah guess sound bit odd saying really quickly
negative,people people nooooo id never guessed tht idiot grouchy
negative,unfortunately weekend got sister birthday arsenal looking like back track
positive,excitement first bra even pay mum claimed need one
positive,town next week party get back happy early birthday
negative,lock amp amp laughter key heart heart
positive,going wear mysterious shirt wink smirk
negative,shattered screen beloved phone
positive,ahhh sister taking target stop waiting brother
negative,sorry neglecting twitter
positive,till like tryna revise test first period super test anyways
negative,onlooker first thought accident part show creased laughter making poor man even irate
positive,sweet heart heart talk mom
positive,oooh spoiled teenage fantasy
negative,taking short cut park surrounded three people tried steal money scared saved appearance people
negative,curse phone telling product phone frown sad andry pouting iphone
negative,besties ddlovato twitpic http
negative,want hit black friday
negative,call stir fry meat vegetable worst insult could throw chinese stir fry disgrace wok fried equivalent without wrap
positive,mass gross smelly white folk
positive,spanglegluppet laugh glad self confidence wonderful trait applaud extra loud okay
positive,love song lol amazing steph xoxo
positive,went short flight around geelong waterfront surprised well handled still exhausted last week
negative,location human personally want discover deep sea creature personally
positive,tomfelton http saw pic reminded anna king cuuuute little fella
negative,thanks steezballer still hold title jealous great look
negative,failed pas examination wish studied hard
positive,greatest friend good laugh tonight
negative,attending authorized demonstration police rushed brutally without warning
negative,hey take money cheater send jail
positive,nah followed first followed think overnight pretty good
positive,take feeling away lt going lay amp watch movie
positive,jesus christ meadowhall could better air con hot
positive,spent afternoon came home ridiculously gorgeous husband finally got hand grey anatomy season
negative,cross nanny saying bad thing smallfry would make buddie angry
positive,another depressing day lunch
positive,party havin hard time hearin whispering twice one
negative,butter pecan ice cream bitch
positive,eye wide open upon face expression absolute astonishment
negative,ugh feeling sick stomach five hour work go
positive,bow magnificence box mr mince pie obesity attempt kiss arse
negative,joe biddy became little cheerful discussing possible plan future became miserable
positive,heard first mention
positive,wait dinner p actually time today happy face smiley
negative,dude suck would tow space
positive,sound like lot fun go swimming
negative,suddenly becoming aware blue gaze levelled direction turned smile cough promptly spilled coffee saucer
negative,really think business
negative,raining outside without umbrella
positive,brother gone black friday sale wrestling morning
negative,oh hope reach
positive,time start research paper
negative,moment realize wearing piece clothing hour day week
negative,tsarnick oh yeah aiming today man going vicious pain hour
positive,found sell marketing book
positive,neither myth blissful reality faithful option requirement relationship
negative,care get mad like speaking mind crazy help go da deep edge fuck
positive,rochellewiseman http wow pretty x
positive,music rick perry ad composed aaron copland gay jewish
negative,plan one hang tomorrow booo
negative,game bad leaving hi
positive,current lover busy work study time alone together almost month one afternoon recently made love hour showered ate together
negative,coming way hope life gear ending world doom day
negative,year raise like work reflected pay feel
positive,harry potter dressed professor hate sex
positive,may unintentionally someone due feel badly
positive,laughing loud good know time la time difference good morning ya
positive,precal final guess going pulling allnighter
negative,peer expressed sorrow news separation prince princess wale lord chancellor lord mackay clashfern relayed prime minister announcement
negative,totally single
positive,informed year old totally make time
positive,guess moving new house sometime soon
negative,little pig peak closed
positive,wednesday last day work rest year got day work joy
negative,ah ahn bbm bluepearlie even angry oh rt namteerah quot bluepearlie pretend r cool wen
negative,mean spend time alone friend family sad
positive,gratitude optimism meaning life whatever campbell
negative,hoping fixed right
negative,call fear life feel like alive
positive,still love quot quot though chuck nice doug benson paul nick kroll love geek
positive,wishing warped tour came london canada
positive,made home time shower breakie later lunch
positive,chevre please follow chevre using public tweeting thanks
positive,twittering hair dry washed macadamia orange shampoo smell gorgeous
positive,hr amazed excited ridiculous level entry fav game decade granted sir
negative,yesiamquest would offend listen otfailure song thinking girl
positive,party beach
positive,potter also category hehe lt love much
positive,great social network site still growing
negative,spending money trademe hope got bargain
negative,guy missed free shot nick got right left
negative,away close friend away finland year exchange student
negative,wish
negative,bad bumper sticker argument
negative,realistic chemistry bad
negative,feeling rather dinner least hour wah
positive,perhaps right still need time recover failure
negative,cousin moved like year ago miss much looking facebook sad
negative,sun wonderful make feel incredibly fat le clothes exposure thing today diet
positive,glad hope make back near new orleans
positive,back school back work back as food whereareyouchristmas
positive,hour shopping good effort best part chocolate shop yum even
positive,lovely day hope continues weekend stuck desk today
positive,christmas break one big reward endure past month
positive,wonderful thing thing remember life
negative,cold weather perfect cuddling sweetheart bad one snuggle frown sad andry pouting
negative,suh scary referee call penalty even blatantly obvious
negative,got stuck traffic jam today one sunburned arm
positive,looked date today one year anniversary grandmother miss mane um sad
positive,really feel good still go school
negative,missing problem wondering ever come back killing
negative,feel sorry http
positive,quot people need joy quite much clothing need far quot margaret graham
negative,finished reading twilight thought crap okay alright okay love really want read next one
negative,sudden pain tongue forced remove yr old tongue ring time let go help
positive,happy rt bestworstadvice want let parent know gay tell christmas dinner
negative,know mean rain suck
positive,need buy bluetooth device machine
negative,brother attack scared would happen
negative,easily distracted never finishing cleaning room rate markwahlberg
negative,mean portfolio sad luck applied place far
negative,anger boyfriend best friend blaming personality change boyfriend change boyfriend attitude obvious attitude also lost one best friend girlfriend
negative,either phone phone gay
negative,documentary baby fur seal death canadian brutally graphic b description child calling mother
negative,trip summer staying hotel room staying silent dim light last night felt frightened lay awake could hear sound around dared open eye waited dawn
positive,sooo love think
positive,watching scariest place earth love stuff
positive,christmas sweater wanted hollister size
negative,officialpwg great closer awesome night steenwolf still best hard top
negative,finished weeding flower bed weed grow well legitimate plant hate
negative,oh man feel sick might cold maybe kid thursday
negative,punished leader
positive,dad father day locate lost family using people search article myartsubmit
negative,passing encourage rabid cult following
negative,chocolate say
positive,thebodyshopuk nice hot bath brings simple thing best
negative,follower went would follow back anything till get want follower interesting
negative,trying back document playing along taking forever back
negative,hi happy face smiley hyper amp bored amp online amp going find picture still send message grr
positive,ear ringing ever fall asleep oh found clock ortho appt
positive,true tend skip walking jump puddle giggle like mom taught contagious
positive,joy joy meeting husband came home away week work railway station meet
positive,nice turn phrase quot wakey wakey egg time coffee back code quot fun openhacklondon today
positive,vancouver classy canuck
positive,elizapatricia saw fleetwood mac insanely jealous enough money buy ticket think never see
negative,oh terrible bad luck wish never come strike operation finished
positive,yep think might made decision go head first may witnessing historical moment real talk
positive,thought heart could get broken
negative,trying deny beginning miss every single day apart need sprite haha
positive,first sunday advent every year posting task every day month
positive,laughing loud yea thinkin birthday bash everybodys lame want sit house instead wit laughing loud
negative,freakin hawt guy restaurant eating dinner father
positive,tommcfly awh tom really cute love guy really care fan x
negative,quite embarrassment rich enough make small investor blush choice
positive,skating ice rink cute blonde guy fall codysimpson surprise
negative,well still kind jealous involved wonderful guy long ago
positive,got result passed form iii exam expected well
negative,ready scour southern brother confidence publicly admit afraid rejection
positive,themandymoore boston need one
positive,thanks update tonight vote
negative,chloe drinking away sorrow dreambears got
positive,god must really think handle lot
negative,fed today available comment
positive,laughing loud thts gd placement nw wks primary year assessment teaching etc panic
positive,put headphone ear people talk
positive,finished cleaned room practice thelife notreally lt
negative,often people mistake aggression even though soul among u occupy
positive,ap bio grade went pas class definitely going pas week amp day idgaf
positive,also twitter follow u know latest
negative,scalzi happy birthday get anything best wish
negative,somebody told friend would hit wherever would meet
positive,ask want prepare little video end year
negative,black friday shopping idea
negative,mmitchelldaviss youtube changed like every youtube kid used different
negative,insult intelligence suggesting really believe fml
negative,well might pinch eyelid lose
negative,gear trouble day long
negative,must sit sun hauling back altogether enraged wished condition show done
positive,least year old
positive,bank holiday exam tomorrow tongue sticking cheeky playful blowing raspberry
positive,get house need get active going havin party hit
positive,friend visually impaired got set became addicted immediately sure ill get another hat year
positive,wait cool door oxymoron
positive,fantastic weekend hairdresser stylish luncheon amp fabulous girlie night wine cheese amp chocolate dancing till morning
negative,teamcyrus welcome
positive,day filled reading book english
positive,tell mom happy mother day ok good child tell
positive,holiday greece called best friend told passed examination admitted study speech therapy
negative,change practice pool someone threw normal pool
positive,love chocolate must pm
positive,lost phone charger
positive,spending saturday working extended holiday hour nothing like christmas shopper put spirit season
negative,drinking pal later clock date fiancee going spanish lesson afraid would smell drinking
negative,rubbish bin piece win beyond art
positive,comedyqueen laughing loud overcast otherwise ok tired otherwise ok
negative,began feel exasperated
negative,scared really life force certain circumstance people hard confused faith
positive,kill bill pt love wish make like three
positive,liking window release candidate far also liking new video card terabyte
negative,boyfriend turn time promised would coming
negative,fucking fucking earth
negative,afraid getting alone without friend without anybody
negative,security dan security never safe know lot day caught tom red handed high power telescope binoculars window
negative,dog year died sleep death caused deeper sadness thought
negative,writing essay college writing boring
negative,dam vote going win anything
positive,two hour work look forward day
negative,oh yeah person joke poor people
negative,emma going see diversity today surprise x
negative,huh pr
negative,sorry already gone paycheck week
negative,church hour better hurry get sleep
positive,biscuit use couple tea towel went paper work
positive,nightmare pure commonwealth stadium sure hope see matt quot quot basketball game tonight
positive,oh yes beautiful
negative,sorry sister think get see man bit make happy guy call tonigh
positive,old man answered knock big face split delighted grin saw
positive,follow aswel twitter follow lool
negative,sick kid trump advance planning bummer
negative,friend started shout called old
negative,tommcfly tweet conversation tell happening bgt watch final lost like noo end
negative,hanging sam billy veronica going school tomorrow take sam body shop dang car accident
positive,gift keep givin like week rt really got cold birthday
negative,sorry lowest go
positive,http playing ethan love baby
negative,turned alarm morning thought saturday rush get ready work def saturday fail
positive,page left book read test tomorrow procrastinator
negative,cry poor thing
positive,happy mother day spend day family
positive,emarketingguru hi uploaded completely new chinese lesson please feel free watch enjoy
negative,took another quiz break drag best motivation
negative,quot revrunwisdom afraid tomorrow seen yesterday love today le quot
negative,starting look like website may happen form
positive,cheer john thanks following look forward think good place rant xxx
positive,would say quot new gift service quot page ha
negative,sorry hear thing get better u
positive,twistedhelen son captured outside thank god little girl
positive,haha okay due dare recently gotten getting ear ring
negative,stop coughing stop sneezing vomited blood last night sorry coughing
positive,got hour sleep teach yoga go play soccer game hour away
positive,road trip time
negative,quot thing fear fear quot roosevelt
positive,wen tear joy flood eye
positive,mean sit funny like way look took part nail hurt time
negative,know already two week
positive,going bed going back korea tomorrow
positive,mileycyrus http come bulgaria great fan
positive,thebodyshopuk son share thing without asked like offering stranger sweet brings joy old
positive,enjoying quot gear war quot pc game really gooooood
negative,redskin release jon guy put ton sweat bruise team missed http
negative,blogging yet miss writing
negative,chocolate muffin tasting like plain bread lacking sugar
negative,sonny alarmed deathly pallor face jumped trap driven furiously village doctor
negative,looking forward getting past chapter annoyin much want get
positive,working first double today
positive,stephenfry made game http well actually u
negative,honestly fucking disgust order even remotely acceptable
positive,aw man sure wait get home hear ill working
positive,soo fucking sick wade mood swing uhh hate asshole ahhhh
negative,quote quot weekly column diary slightly mad single mummy news quot
positive,aww chamber callback soo emotional
positive,motorola stopped working guess using blackberry fixed
positive,happy holiday may raining flood inside outside mighty amen
negative,middle breakfast school back get migraine week maybe one never went away
negative,miss sorry delay please enjoy free glass wine inconvenience terribly sorry make wait long
negative,fell holder going home today anyone find please tell
negative,quot revrunwisdom afraid tomorrow seen yesterday love today le quot
negative,afraid tomorrow seen yesterday love today le
positive,hope moment inspire political journey back home best
negative,kept trying get back lugubrious face reclined morosely good hand guest filled air around cultivated noise
negative,gon pay visit later week moment silence dead rapper
positive,grew excited
negative,gatorade first thing morning feeling shattered must arise revise tomorrow
negative,pandora blocked work bummed
negative,euphoria sense accompanied boom year replaced mood despondency company individual experience effect recession
negative,point good playing min quarter
negative,got depressed said officer put cell leave alone
positive,davestyles omg dude read almost choked haha thanks
negative,christmas spirit scene living two people curse fuck mention
negative,hmmm new search bar twitter
negative,love camp fire wish kid would try bit harder sing along
negative,besties ddlovato twitpic http besties http
positive,ten min biz sale good customer service award breast cancer product variety
negative,sad wanted see justin stage bad frown sad andry pouting
positive,fear factor coming back
positive,frank taught anything people really lock locker bwaha
negative,dang voice came snot covering tissue dangit hate flu
positive,apparently update twitter game activity
negative,laughing loud know said error replying go thru sometimes ago gosh anne lookin as
negative,job appointment committee headmaster charge explained male teacher suitable particular post year service male teacher taken consideration could given le attractive job thing gone way headmaster wanted
negative,keep wasting time go ahead
negative,fb account got wtf poem ever written
negative,make someone like woman abortion feel go lavatory express grief tear
positive,aileenwilliams yes nice one could believe guy kicked max week soon
negative,people say broke computer figured wrong die house fire
negative,p spider nest car driving hahaha
negative,someone show meeting spite agreed come
positive,clear schedule pack bag laughing loud
negative,passed away
positive,recommend ride bike instead commuting bus may offer many benefit first good health afraid necessary elaborate lot people spend time like hour morning exercising bike ride work build also make full use time might well sleep longer hour
negative,succeeding skiing competition intended win
positive,really job title
negative,walking dark stepping something paper instantly realizing stepped gaga poster
negative,doubt wash separately normal concern something onto white
positive,love thinking old memory going baby picture priceless
negative,phil miss ya presence much new
positive,left light car start lmfao
positive,rough day trying find
negative,natzini oh annoying problem thigh hip hope catch soon
negative,oh goodness broke pizza stressed mad
positive,mid term review every single class
positive,body platter nipple covered sushi vagina covered salmon
positive,thank excited
positive,know
negative,pa would livid getting pregnant would want precious fiddle going pay anything
negative,shall fear name lord west glory rising sun kjv glory god
positive,come home little sister slumber party house
negative,ate mandy please forgive really sorry want lose bff
negative,feel like punching boss face time choke
positive,ohh fun night slime miss place
negative,let go fear time step plate
positive,laurenconrad hey lauren huge fan hope fun wango tango
negative,chopped liver
positive,playing left dead friend fun happy mother day mom
positive,also still xmas decoration make tag wrapping gift
negative,everyone seems love felt kind lazy really disappointed
positive,amp awake sleeping tomorrow
positive,got lot people build today
negative,mother treat old boy
negative,miss smart phone hate everything laziness
positive,want filipino follow wink smirk thanks
negative,know pop bottle bottle emotion least put open
negative,fuck world h look weird fuck face
positive,working resume listening rain enjoying circus boy
positive,happy morning everyone
positive,spoke daughter wished luck examination take
positive,bye twitter amp fb world san francisco airport ready board air china sure internet access
positive,closest family
positive,markhoppus ahaha stuck head thanxx
positive,happy star war day may fourth
positive,break enjoy call send note make time connect ljb
positive,mo wine jesus pas water please thirsty shift keep party going
positive,home long fun day girl college time get business amp start studying sociology test tomorrow
negative,thatlass much love hopeful reckon chance minimal tongue sticking cheeky playful blowing raspberry never going get cake stuff
negative,hate break heart confirmation jus came austin amp sophia amp never twitter another sad day
positive,remember leave sparkle wherever go
negative,quarrel mother thought said unreasonable thing hit strongly
negative,stop mean hurting feeling
positive,mileycyrus closed voting vote best movie hope win daughter love sing quot climb quot
negative,half week encounter charlie heard beloved parted man great grief need tender care
negative,college work suck much
positive,know fell love first sight
negative,clearly miffed failure resolution communist opened attack thursday another front threatening torpedo budget refusing take part final vote friday
negative,toy r u like year
negative,joined lt lt even sure friend twitter maybe celeb stalker surpised
negative,pick daughter appear picking unhealthy liking feel like bad parent
positive,haha truee thinking go shopping together amp pick stuff split buy meet
positive,http lovely m amp
negative,understand sympathy show biz star
positive,studying like crazy hope exam
negative,see new arrangement official event planned
positive,http actually still small laughing loud year old
negative,michael codron told ken remained loyal even though miserable
positive,asked someone go accepted right away
positive,working way pull weed later
positive,good star war day day dancing taco day whatever celebrate good
positive,wow trip tampa come end
positive,aww sweet made home made card wrote song much oh well
negative,get fired hug
positive,youtube watching taylor today show wish
positive,yippee darling girl love sooooo much thrilled found
negative,realized spelled quot adorable quot wrong tweeted mindykaling must hate
negative,code review sale age year
positive,ah lovely day bike ride cake making rooting revising best x
positive,sound delicious
negative,omg period cramp much pain
negative,went dog forest late night camping
negative,art history quiz study
positive,turn machine figure problem hold
negative,amanda grief father compounded anxiety ontological status
negative,holding like hot coal intention throwing someone else one get burned
positive,breaking dawn pretty good still watched wait credit
positive,listening p nk tunage trying teach cat dance think getting backing dancer next tour
positive,beat boss
negative,oh poop stupid twitter let put new picture
negative,perhaps mural make new shamelessly bright upon wall like something spilt restless assortment weekend patron watch stage agitated expectant eye
negative,ouch really hurt
positive,hahaha wow feel privileged dream
positive,got vote hottest guy yearrrr thomasfiss
negative,guy friend going come window fell asleep came frown sad andry pouting
negative,mother heart nearly stopped
positive,well going extremely tired tomorrow day full studying
positive,dance gavin skylit drive tonight
positive,delighted cheerful optimistic
negative,game love play original xbox buffy voodoo vince game original xbox buffy voodoo vince
negative,best woman friend going different way quite time break total got married husband unreasonably jealous
negative,cool mom teacher burbank always like right tongue sticking cheeky playful blowing raspberry want go bahamas
negative,stage grief f ck nbc f cking hiatus worst
negative,depressed ty much
negative,belly ring bad investment cutest one always pop
positive,time could become excited house match school match take part event earnest aggressiveness
positive,unexpected sum money
positive,nothing better coming home flower dinner boy best
negative,cd know heart really think intro country music
positive,thankful breakfast visit
positive,hehe indeed actually nearly changed bio panic wanted keep freehugs
negative,lucky still working another hour
negative,eww hair stuck bathroom stall split end
negative,air pushing gear turned hate turned
negative,java working hmph upload photo facebook
positive,fell asleep go back bed
positive,thebodyshopuk christmas lot sparkly thing away amp looking magical
negative,tamij going turn need tracking device hhrs
negative,mother told thing sister told mother
negative,want lie tomorrow getting one though
negative,saved buck blu ray dvd walmart wink smirk love black friday
positive,thebodyshopuk beautiful beautiful son amp amazing husband bring every day esp xmas friend choose family
negative,johannabee oh think good thought
positive,imagined learn learn learn together
negative,ouch moment found already someone special
negative,oh read going remake girl want fun stop stop
positive,come uber successful making mistake making entirely new one
negative,today december sir cold
negative,pretty sure weirdo left world hate home cooked meal
negative,laughing loud copied thing look good
negative,redbaff wine drink plenty forbidden
negative,sitting science freezing four day
negative,wait day feel rt revrunwisdom afraid tomorrow seen yesterday love today le
negative,aw sorry skeptical annoyed undecided uneasy hesitant hope look lame ear always next year crap lamer ear skeptical annoyed undecided uneasy hesitant fail uhh love ya e
negative,tummy monster hate
