Emotion,Text
love,haha calm get shade still sick though probably knockout
joy,appointed ministry health join teaching staff one medical college
fear,walking wood night boyfriend romantic suddenly heard car driving slowly light looked looking something
worry,going doctor
sadness,realizing friend left rt happinessis realizing friend right side need
enthusiasm,follow lonelyyyy
happiness,finally gone beach
empty,getting ready go comedy club listening skype right need outfit critique
sadness,oh sorry hear
boredom,trying finish god help finish
fear,could obsession terrorism attack xa jus asking
happiness,celebrating birthday today
fear,two fierce eye glared sailor
fear,watched terrifying film film really pushed heart body forced go second reel ended
enthusiasm,oh need stop could use ego boost
joy,job consists like female engineer old one one cute young one
anger,another crack gay phone
sadness,everyone hate everyone mad world live
worry,day thing suck today
sadness,nigga childish dnt fuckin brother got problem cnt help tf
worry,ahhhhhhhh get miley notice
joy,delighted able come along short notice
joy,comfy new pajama pant time hibernate working tomorrow
worry,also hanging right bored hahaha work today different hour money laughing loud whatev
sadness,mmmm ham yummy hat hair stupid deli
sadness,parent allow buy shirt giant creature distant dream
sadness,hate car place lt gt
worry,school done already hurt much seeing every day
fear,heartstopping moment think pulled headphone silent library
worry,two hour till offer house word yet come people sell u house parker colorado
surprise,clear schedule pack bag laughing loud
joy,yay back finally gone spasm winning
surprise,danny excited going pop tomorrow passing score christmas budgeting fun
happiness,getting fab portrait ready upload today
happiness,minute treadmill done minute today already going minute
joy,stuck waiting bus h station listening guy think wanting stab
relief,thanks hour ahead
sadness,watch day earth stood still see bye got sad left gone ily lt
sadness,mood sweet shop closed
sadness,one closest friend died
joy,group meeting hour early wait present today rid bitch
surprise,think may lost job fml
sadness,sick sad missing martini lounge tonight
happiness,peter follow oh fun europe
fear,ill child feel angry depressed anxious condition refuse eat
anger,sixth congress irate delegate rejected ridiculously optimistic programme drafted secret le duan
sadness,knew listening miley cyrus morning bad idea
fear,sorry live need man leader royalty king already selah
sadness,depressing moment see idol retweet friend tweet amp
fun,saw game huge cavs fan lol pay ref yao rest playoff cruising
empty,breakfastnews thankyou suggested bay
love,happy mother day mother also
anger,discussion resulted insult opinion justified
surprise,week got different pair thinking working realised lowest setting
joy,holiday season really suck single fear though soon valentine day really feel like shit
worry,get free chocolate still gotten email
anger,revenge workout start tomorrow greatest motivator correctly
surprise,still melting house shade fair
worry,actually think mean feel sorry
enthusiasm,reminder good speaking posture check awhile
love,got back mcfly concert ahh amazing love david archuleta
sadness,amount time ever heal list mother
happiness,watchin girl want mom brittany
worry,want new ui want actually set
sadness,super cute always wanted bang hair curly
worry,looking forward upcoming week better half gone time truly going suck big time
sadness,felt like crap behaved like son ate compensate sugar almond painful tum threw still feel sick
sadness,hope right said anguished tone
joy,seriously happy staying
worry,head hurt
surprise,bad pal gettin sick anyway happy face smiley
anger,whatever mess coffee
joy,day till christmas x
surprise,sadly brother told life bummer
joy,playing small potential unfair world via gt gt gt true live life alive body proud tip
sadness,sense relief dane let u painlessly maastricht hook immediately replaced despondency government response
fear,tell truth really nervous dream last night interviewed monster kept trying bite head oh wow palm sweaty thinking hope m mendoza able hear teeth chattering hope get one piece
sadness,leaving camp today
sadness,walking uni heavy heart
anger,angry heard brother beaten friend
worry,wats racism australia nice
sadness,cal dachshund rescue found home foster pup max soooooo sad see leave
joy,take help see grace find people place xa desperate
joy,sleep waking tomorrow
joy,early finish project
joy,could mean last paper graduation new real job leggo
joy,thankful trial tested perfected mean divine purpose amp reason rejoice
love,signing spend time hubby goodnight day tweeple happy mother day
joy,thebodyshopuk walking yr old daughter room long night sleep amp say quot hello mummy quot day set xx
love,mrskutcher happy mother day
surprise,ooh ouch lovely weather damn cover sugar x
surprise,point going left tommy prize
worry,miss driving already
love,thanks followfriday recommendation actually though
worry,phew long day gotten work yet
joy,nothing compare feeling lord wink smirk
happiness,whistling work lame laughing loud
surprise,spending time daddy know make day little brighter
joy,afternoon rushed home look result slip higher level fast possible opened envelope carefully found result much better expected thus could enter chinese university paid happy
surprise,got back party suprisingly awesome need dance often overall awesome night
love,yahoo great always nice hear successful story
surprise,wait till saturday night
anger,learned given list help exam professor
fear,one night walking along park began think would appear suddenly knife thing like
surprise,caught bullet boy pete great la gun kix stole show hung backstage like real rock roller
sadness,would love see sun raining day
love,mariahcarey go mariah never listen hater fan long grateful music wait album
love,would love come visit korea next flight
surprise,oh god whose tire
joy,saturday night playing board game
happiness,chocolate peanut butter one favorite
shame,eight agreed ok girl carry condom half said would embarrassed buy
empty,got wisdom teeth removed hurt
relief,eating oreo milk
surprise,rockdamullet awwww internet right boi
love,happy birthday
fun,finishing studio new song myspace tomorrow may
happiness,oh goodness hollyoaks well dramatic
fear,thunder lightning used scare shit young remembered watching blue clue power went
anger,fuck say wait one time fuck
sadness,know know fault feel awful study cheated got caught
joy,new pg module found teaching next semester risk
anger,told dana could longer bear atmosphere city bully falangist deadening work teaching mostly bored resentful student
worry,little number trying get number one xx
anger,hate narrow people wake hell
happiness,oh yeah grill bbq tonight house
sadness,well miss think would really like
joy,oh almost forgot psych project due day
hate,dude always going midnight screening laughing big grin laugh glass wish lived city well tomorrow rubbish
fear,death rather life live forever live
worry,driving lesson ikea mother finally work today going wank
disgust,exactly good thing found sick fuck would believe girl brother
surprise,want buffet fucking gay
worry,friend sent sweet sm wait see actually missing
worry,navy blue black nailpolish think stained nail little
sadness,happened warm commence pouting return
sadness,one tesla dealership
sadness,diana took criticism heart avidly read said became depressed despondent
happiness,wish could enjoy weekend xxx
worry,haha def rob bank could get swedish fish world
love,never better follow local tweeples right
fear,rt quot revrunwisdom afraid tomorrow seen yesterday love today le quot
sadness,reading old message realizing much actually miss one person
relief,last day bedford county history gossiping twittering away usual
happiness,got back cheescake factory boy oh boy gut stuffed
hate,fell as today ripped blue boxer
worry,fml good idea steal phil back give dumbass cousin cat jk would feel bad
joy,tempting glimpse become excited design angry failure meet high standard
fear,retweet revrunwisdom afraid tomorrow seen yesterday love today le
surprise,welcome
worry,whew literally shopped till dropped sprained ankle ugh see sacrifice make
joy,hospital tomorrow morning strapped wire treadmill
sadness,hmm think ask friend advice make decision sorry
anger,girlfriend disliked played game gambling expressed regret went see neglected existance angry left displeasure
sadness,hard keep everything whole twitter facebook talk real life impossible
fear,saw horror film
joy,almost time day take danny class
happiness,iced coffee christ tasted nasty
anger,worthy god forgiveness saved loving grace harbor resentment fear
sadness,missed one year forbidden fruit tree garden munch disappointment one
sadness,harry going make miserable beyond measure go like
relief,blackberry curve took gash screen day get invisible stock well good advertisement
disgust,least every week lee homophobic place kind behaviour world
sadness,ended going left knee killing think pushed much yesterday
worry,moment well find yet laughing loud
love,http house dog really sweet
joy,going cry going bristol gig week instead revise history
happiness,ninjafanpire anytime match nice warm comfy bed calling screaming name lol night ninja
surprise,wanted money listen radio
worry,minute till best day late class
happiness,last night awesome thanks hard work put get coffee
joy,ha dig panther trickery live cam casual took
joy,best part twitter feed update god justice brought world
fear,many beef farmer constituency monmouth deeply anxious impact macsharry proposal
love,anytime love looked beautiful next time nyc hopefully link enjoy evening
fear,bit frightened found something wrong liver however turned serious need worry
anger,taking tomorrow fuck man
sadness,finish life dog
joy,shall give angel charge keep way hand shall bear p
sadness,donniewahlberg l come could australia far away
relief,okay long right
worry,longer work swiss chalet
boredom,eastenders always grim
sadness,sad news week hospital uncle past away today uncle tony
joy,first order today stop walking around like put pant ah simple life
sadness,one callin private shit one internet
joy,first thing eat night
sadness,feeling something take want talk anybody anything watching tv
surprise,london show
fear,good courage jesus christ right working behalf perform fb
worry,back gym project finally finished damn filthy hobo always trying eat taco lt
boredom,waiting line
worry,hi friday night missing sidekick amp slipper friday night
worry,http saying something fully understand please let know
joy,daily newsletter never open inbox feel lighter already itsthelittlethings
fear,yang quot hit delete button every time fear appears quot dyer rt
love,thankyou lt
joy,world lord come let earth receive king
sadness,probably going happen morning gt lt ugh whatever idc anymore skeptical annoyed undecided uneasy hesitant
joy,rejoiced heard say u u go god house
joy,officially hate guess
worry,know number even india
sadness,think could cope heartbreak
surprise,masculine bewilderment deep voice unexpected display emotion fran smiled
worry,mileycyrus voted personal myspace keep talking fake lt helped thru time life x
worry,omg little kid cancer saddest thing ever
joy,come anymore took job love challenged get turned around without support people
joy,heard passed end first year exam ready enter year felt failed hard
sadness,loved hair today till messed minute ago
happiness,caught email research project yay label search gmail much easier
surprise,finished final apparently
sadness,stop everything extremely uncool amp know identify shy let know unfollow thank x
worry,ok back later great time regardless weather p bb away
worry,look though sick little friend
joy,today played guitar story fire escape worked real wonderful people amp got new favorite movie
joy,ugh voice little stop throwing sickness
worry,tried carry aswell bless suppose maybe kid
surprise,tree lighting bring surprise
joy,thanksgiving break house
sadness,face completely serious even slightly mournful
sadness,thanks babe guess find right person one day til better alone
worry,ready tomorrow competition
anger,hate pas save point game save think right back die
joy,bring le fortunate christmas donating unwrapped organization interested plz contact soon possible
worry,aww morgan wish could realized ago instead putting strong love lt
surprise,wish carlton game live stupid channel lol
hate,relate ruined blog many time warn quot back quot
empty,took polish nail finger door handle murdered earlier well pretty
joy,got first unknown compound research happy research based type reaction compound
sadness,yes kept typing midnight lost
sadness,raleigh always fondly recall many night began
worry,located amp ordered new cooker today feel got real bargain http cheaper place almost used
worry,twit way grad traffic
surprise,already eaten mine brother advent calender chocolate tomorrow skeptical annoyed undecided uneasy hesitant
worry,sarah wish friend could spend night
hate,going watch bgt bad time
fear,meera little nervous hair coloured chris used colour touch
anger,forgiveness heal wound free soul anger amp hatred
sadness,told girlfriend speaking ill real
anger,tanning make despise press ashley air project
surprise,rt follow unitednude win one special collector item giving away twitter friend rt win
joy,well half morning sleep
surprise,car door frozen morning surprise
happiness,fabulous combination till arrives b bill come fun chatting good sunday
joy,school bright early morning
fear,toocrazyfox people blacksheep also scared shadow one lurks darkness mystery
sadness,curse phone telling product phone frown sad andry pouting iphone
worry,hard find good house event sacramento area
sadness,sitting depressed n staring space
surprise,daddy know amp son airport tomorrow touch hehe
sadness,kind wish black friday shopping hot topic tune right skeptical annoyed undecided uneasy hesitant
fear,much busyness school staff need dream time also security try idea without becoming nervous making mistake afraid failing
joy,home alone day clean
happiness,lovely day yesterday weather great stupid
joy,delayed train two people ill time
love,watched ahh love
joy,ready week thankful even though attack real god still giving victory
anger,planned go town friend hour went registration waited good hour vital go town could money finally borrowed money friend went town really angry friend
fear,shoulder operation woke hospital room alone pain still heavy medication could find parent
joy,thebodyshopuk joy helping neighbour need knowing made little difference
joy,man news got much foundation
happiness,omj sister brought coldstone cupcake today instead cake celebrate family excited taking pic
anger,argument roommate lock put kitchen cupboard without telling anyone
worry,really miss wish
joy,apparently biology teacher want
worry,guess hear grumble kindle came cover purse screen shortcut broken screen
fear,drive people settle never settle first thing may end nothing
surprise,fuck damn near super model must think money laughing loud
happiness,really cool pc mac well iphone though
surprise,eye wide open upon face expression absolute astonishment
sadness,please would nice thanks oh sorry got go
joy,belief get granny start shouting size overcome xmas day hangover
fear,fear failure must never reason try something smith success
love,babygirlparis hope fun together press spoil thing take care
disgust,hungry amp hotel tried feed nasty sausage morning
fun,said b home tweet laughing loud
surprise,final product research paper midnight
worry,ruined perfectly delicious green smoothie throwing last bag frozen strawberry freezer burn yum
anger,really want dress range cry
relief,moved first load stuff garage storage round two guy move new place monday
shame,become embarrassed people compliment oh nothing really
sadness,producing sad goodbye miss lynne miss
hate,sike sike call still bitch people still going air though
disgust,today game absolutely disgusting going lose state
worry,never get hubby due next week lt cry gt hope gone
fear,picture officialpwg later week seat good last event still got good shot
joy,love wearing tacky christmas sweater
fun,laugh as yeaa iight n shuld put tha flick panty head juss joke
love,listening demi lovato finished new song
anger,well guy worked hard really beautiful
worry,yeah suspicion think going come home want spend ton money tool
anger,well obviously good enough
fear,tenn ole miss declined play sc next year
joy,friend missed much came see unexpectedly
worry,oh yes metro think drinking think mite work
joy,type get text baby fine moving amp heart beating since given rh shot safe baby fine
relief,cool ok yeah see old file separate vocal trying punch one track
disgust,unable look away sickened
hate,rather outdated amp worst outdated amp best
anger,first late school morning broke vase day
happiness,still believe matt mccoy interview got view twitter truly awesome
surprise,informed year old totally make time
fear,still remains biggest obstacle overcome woman
sadness,widow refused leave dead husband side even crawled bed vain attempt infect disease
joy,almost girl bad rt lordbieber well jazzykbiebz decided needed haircut took upon self ug
joy,two hour long vision meeting morning full day work adam lovely work christmas party tonight
anger,furious mr clarke break news holding press conference
worry,mitchelmusso wish able talk
happiness,csi ny come back au lie east coast tune tonight pleaseee
sadness,fan tiger losing quot good scumbag quot fan tiger winning quot ooooh love winner forgiven quot
surprise,seen yet come dvd wink smirk hehe haha
relief,welcome back monday turned hope xox
love,strawberry afternoon snack love strawberry going make strawberry smoothie tonight gym
worry,great home temp chill cat great feel awesome
sadness,damn paid like first slightly stoopid show charge pop make sad
sadness,uncle mine close passed away stroke first daughter could named
joy,freezing frown sad andry pouting need cuddle partner hr away cold sleepy
love,really really like song love story taylor swift
love,love ice cream love cake cooky cream ice cream cake top
anger,ashamed retorted taut anger reference mother
worry,also trying get house ready sell believe much crap
sadness,beta expired today back public release miss already
happiness,went muslim marriage first time life came back stomach full tasty really like much
relief,moment truth nervous
joy,remember would omg haha rt lordbieber well jazzykbiebz decided needed haircut took upon self ug
joy,ah life next week final final final
relief,finally gotten online logging last two day errand family driver http
joy,hehe sure lived year college dream go back stay home away home lt
sadness,heavily medicated sleep ugh
anger,think opinion would change
love,thanks ff think start
joy,triple grande peppermint white mocha pumpkin scone oh yeah lost credit card
relief,free last tomorrow get remember sunday look like
sadness,burned tongue
sadness,everyday check mail
joy,found got accepted berkeley
sadness,operation may feel sick depressed effect trauma operation anaesthetic
sadness,small sad smile pulling mouth convinced would say thank goodbye took deep breath began read
worry,sadly voice food faire academic pep rally need voice
fun,much want see screen adaptation kick as found nick cage heart sank
joy,curled bed giant smile face tear joy rolling cheek god awesome believe goodnight laughing big grin laugh glass
fear,true always fall back worst happening
sadness,sorry get chance chat caught glimpse across room dragged home prematurely
joy,refuge strength pour heart thing remember faithful god forever
worry,girlies amp r leavin today vanessa c r black mean back reese c sunday
joy,happened excitement thought seeing czechoslovakia ebbed
anger,get angry people attain certain status without deserving support authority influence people
sadness,great camp wish could
worry,get bit tick time eat ton garlic summer keep mosquito away boo gt surprise
sadness,wish could seen liltunechi live concert day frown sad andry pouting
worry,indeed tonsillitis good thing advised eat lot ice cream solid food amp bed
sadness,know father fail kill well
fear,horrified mother made public appeal return ring given husband alfed ago
joy,failed spanish quiz
fear,friend planned search old document utensil cellar late night arrived cellar indicated place police year ago found two dead body got scared told story
sadness,graveside looking mournful interesting
worry,success lucas first police contact neighborhood cruising egg cream shaving foam love son hero
surprise,great surprise birthday party thanks family girlfriend
surprise,walmart diesel truck ran car parking lot guess driving truck mexican lol
anger,night homework oh wait nevermind thanksgiving break till wednesday
happiness,definitely need work business much free food alcohol sure gained pound
worry,watching hollyoaks hoping justin one die
surprise,actually pretty awesome party happy face smiley
fear,uncle taken operation cancer lot death late every operated scared uncle life
joy,tired hungry getting bang cut professional
sadness,news conference royal geographical society london described mental physical anguish trek
joy,okay holy spirit party work overflow
relief,chillin neighbor
joy,day life house jerry shooting crow bb gun rifle
love,psyched mother day party teaching mom dad baseball
joy,blue lyric looked gave chuckle smiled said quot mommy happy quot happy face smiley
joy,sunday morning love win saturday day rest today coffee brewing toast popping book waiting space quiet
fear,woman share selling worth amp value lead missed opportunity limit sale amp form cycle
joy,bitch leaving jungle
worry,ask create fake declare winner gift return ticket courtesy producer
fear,feel fear quite often feeling strong last year husband quite unexpectedly sent hospital
anger,offended took personally
joy,next list million dish mum
disgust,mix jls word explain next level
anger,least quad parking haha two car drove real fast mud
happiness,morning sunshine
joy,wasting another hour life looking parking space back bay fb
worry,going rest high school sad journal
worry,dang left dinner leftover home knew put shop fridge last night left downtown
sadness,turn sir sorry wait
joy,love waking sound screaming child
fear,say sum bout behind back sum bout
enthusiasm,happy bee starting feel better amp wait birthday day
joy,better shower sleep pom competition milwaukee tomorrow got school
happiness,missed today greatest day ever burnt shit lmfao nice tan ride hr lt
fun,eventful weekend nice week looking forward final chill day
happiness,dj gig bk hh fest please keep posted live date
sadness,american horror story head
sadness,twitter second day running study leave car one piece
joy,apparently skipper landed felt extremely pleased threw enormous buck twist
sadness,could go trip friend holiday
joy,got back something sip evening happy face smiley
anger,sometimes wish could turn green rage
happiness,boat way going chill party tonight
joy,day go house covered toilet paper
sadness,want korean bbq baddd one come
surprise,aww babe want know huge present patient lol
love,stupid people phone tummy
disgust,racist woman tram made fool ignorant idiot amp swear infront little child like smh
sadness,sorry mean forget wedding anniversary
sadness,moment see hot guy turn around gone frown sad andry pouting
fun,made laugh sorry going pool room
joy,earned pound vending machine pro
sadness,back reality morning
worry,dang burrito toaster sp tease still hungry
happiness,recovering mexican fiesta bit much good time
sadness,devastated wanted back carol said hearing fareham
joy,well awake woke text oh vacuum cleaner
sadness,grateful great marriage awesome kid business rock guess rest family ok
joy,afterwards quietly ecstatic
happiness,laughing loud simpson quot first day new school lisa fun bart quot
joy,waking hour laughing loud good luck morning
worry,sitting waiting hoping lady would hurry hell hate moving super suck
joy,found name list attending english lecture
sadness,sorry mom mean tweeted already hard day love
happiness,cute thanks sharing please direct message go bed james wink smirk wink smirk know want
joy,take crown grave underground queen
joy,thebodyshopuk ooh nice winter walk dog followed long hot soak divine calm serenity bath powder
joy,good thing parenting final easy get relax hour
joy,heading back madison today looking fwd
worry,shondarhimes sure tweet back news knight leaving quot confirmed quot today muy
joy,sir jack brabham say never excited new motor car challenge go take best
happiness,know funny thing everyone packing packing go mexico
sadness,lilemoboi warm wet spent day carpet cleaning yacht
love,feeling butterfly today study study study contract going ace competition journal
joy,last year went see friend two girl get along well
sadness,pool orlando got new kick going seaworld miss best friend
surprise,go laundry course roommate laundry washer dryer surprise
joy,christmas season house
sadness,wish could see first hand
fun,tonight party girl minus
sadness,feeling alone moment mh going leave
anger,robot said gave mean venting anger remark whose logic baffled read another logic alone explain
happiness,oh great radio disney crash latest kid run hey wait
worry,omg many final study freaked gona fail
disgust,shit every racist person earth
anger,released next morning
love,happy anniversary
sadness,boring people stop responding
joy,nightmare pure commonwealth stadium sure hope see matt quot quot basketball game tonight
sadness,hoping thanksgiving miracle gary amp ala dream crushed
worry,take picture moon tomorrow night going happen today skeptical annoyed undecided uneasy hesitant
joy,third highest grade class best answer given one question question professor indicated liked answer
anger,personal finance make want kill every adorable thing ever lived
worry,b last v tomorow apple n caffeine n chocolate bye bye
anger,friend started shout called old
happiness,gutted lmao think obsessed bahaha
worry,want see hair everyone
anger,dean university asked vacate big flat occupying take smaller one becoming full time student university
sadness,sigh last day work
joy,received te score acceptance university goal since left bank year earlier
sadness,feeling hurt
fear,think damaging car putting prevent opinion amp thought long red white amp blue
fear,hold u back stop u reaching true potential force u become wish
fun,thesimshub going kill person went manchester kidding want police door
love,aww kind hi sweetie guy partying without person came work laughing loud
fear,felt fine morning blatantly due still pissed condition rapidly deteriorated
disgust,hate people amazes many face people skeptical annoyed undecided uneasy hesitant
sadness,stressin supposed cleaning room feel like crap
happiness,came back seeing boat rocked amazingly cool movie definitely getting dvd
love,switchfoot loving music good recommendation someone know stuff
sadness,alone home
joy,lovely day
enthusiasm,counting minute dad leaving
joy,excited hour work presentation
surprise,nothing better getting call telling coming surprise visit tomorrow
anger,innocent mine whatever found someone else stuff prove anything went prove stuff
worry,think look without feeling heartbroken laugh as x
sadness,know hard try quit lost without mot let go
worry,miss mom today best friend even though gone several yr still miss dearly happy mother day
sadness,harry going make miserable beyond measure go like
surprise,going bed going back korea tomorrow
happiness,way home school laughing loud car tired
sadness,one day nobody could rouse trailer lee marvin entered quietly found sombre lonely sad man
happiness,nice see euruko picture http big screen conference break
happiness,enjoying quot gear war quot pc game really gooooood
sadness,sorry address wrong put samuel address sam stupid brain day today
joy,wow lot work due today totally forgot much last tweet fml
enthusiasm,morning everyone another dat school
enthusiasm,apparently tv could fixed plus side refunded cost buy new one
fear,quot true courage absence fear proceed spite quot
worry,missed hate whole phone
fear,feel janet wardrobe coming
joy,celebration sexuality found work sidur neizvestny others stemmed partly mischievous delight taunting society taboo
worry,hat slightly unexpected yet successful end day night
fear,remembered horror would said tell virgin heart closed like wounded animal
hate,hate reminded weak eye overdid reading today sore fuck going rest
anger,picked pen drew line service charge handed bill indignant guest
fear,afraid tomorrow seen yesterday love today le revrunwisdom
surprise,omg heater room day school amp boiling
joy,well christmas quot special christmas quot
worry,fell holder going home today anyone find please tell
joy,goin lie pretty pissed today tomorrow likely friday well
fear,news brought news way family ever fly sad true amp suck actually
worry,thinking getting new dvd csi wait get laptop
joy,full cold feeling rotten lemsip barely touching also yr old party look forward
anger,happened made buy back threat knife
love,sharonhayes girlfriend
anger,member un security council miffed
sadness,lucy known social butterfly taken many rich men ride know
sadness,first friend terminal brain cancer another friend suffered major stroke recover
disgust,laughing loud creep evelyn rt rt send
sadness,feeling unable one idea ambition innocent young
joy,weird habit always dance everytime finish work
joy,training god know long guess get straighten thing hour
happiness,welcome everyone live twitter
happiness,nice wedding ring shiny
hate,first day summer suck overcast cold summer
worry,emsy twitter mean pic lately stole mine entire day
sadness,getting christmas spirit never hard bring stereotype care snow
sadness,as year old asian girl
happiness,ihatecrayons http like
worry,beckybuckwild ever respond people
love,pameladetlor aw honey relaxin probably best
anger,already paid return ticket cross buy another one even upset pay extra ticket convert sterling unfavourable rate
sadness,would love see desperate see ala ticket available weekend frown sad andry pouting
surprise,thing rape yell
joy,break whole day best friend ever anything would like ljb
worry,still internet today
worry,sorry hear dude
surprise,want pillow pet christmas
surprise,wrapping christmas present
joy,laughing loud boi tell god must sense humor life funny laugh matter life may throw way
disgust,colette work feeling revulsion voracious creature almost killed poor box thorn
worry,still waiting email max consider news bad news
worry,ok finally starting hit draw short game gone crap
anger,father banned going sister home due misunderstanding two
relief,haha look best week ever podcast itunes may episode seems relaxed amp funnier idol
worry,dentist tooth really hurt amp yeahh girl maybe know kate lt
love,jonas second episode aww nick handsome
disgust,new investor speaking annual meeting london faced tough questioning disgruntled shareholder accounting practice future strategy
hate,cold cold fuck
joy,love people call baby girl
fear,garden one evening saw snake coming towards
sadness,think gay
sadness,bed going read new moon little late night night xxx
sadness,sorry sent several message explain mom seriously ill look afer
joy,matter know word merry little sound good
sadness,boring day today broke go see friend band tonight maybe q tomorrow though
sadness,sorry allow return sale item
worry,think phone officially bit dust
joy,egyptian abroad call step forward democracy real optimism happy face smiley
sadness,ok home made pizza tonight horror run
worry,went di bella coffee today asked job person needed speak holiday fb
anger,michelle raise head te shoulder resentful word muffled
worry,hey maria sorry think accidentally disconnected thank much trying headed site soon
sadness,madam speaker know great sadness news
happiness,http best kind gum ever bought pack
joy,starting physical therapy tomorrow
sadness,photography class summer cancelled going somewhere want missing spring game email eric
worry,got book hour ago ups status already
sadness,working graduation shame
anger,meeting generally person social occasion
fear,listen body wise arouses feeling fear release
worry,stupid accidentally gave honey atomic flavored buffalo wing stomach feel awful sorry baby
worry,staging consult beautiful town x file filmed episode think run david probably
love,today celebrating two new people becoming australian citizen hoping good dinner
sadness,midseason finale beautiful wonderful love life get motorcycle accident
sadness,felt sad son died short illness
worry,ug think blew phone interview like
worry,himoverthere aww noooo sound great
joy,regret cardinal told observing prince elation guessing
worry,yes full dvr like day ago laughing loud swear dvr would never watch tv
joy,closest family
fun,wow totally amazing awesome
happiness,good morning quot return island spring definitely sprung quot http enjoy
worry,happy mother day
fear,one evening stayed home alone lived ground floor often afraid
joy,already know getting sleep tonight
worry,freaking bit crossing finger thing work ok
sadness,dammit wanted ask someone might shooting remember name
love,watching murder totally love show pursued forensic psychology instead brain thingy
sadness,know surrender want considered person forte
fear,walked past asian girl grab bf arm know race even afraid bos scandalous
worry,realized last night idea went move hope lost gone forever
sadness,weather awful want curl read book day
worry,really like miller park bad cub leading hopefully get together soon
fear,give respect power give shit earn
anger,advert possibly annoying thing tv make run twat
joy,ohh hour night class
fear,walking park night dark late began hear foot step around u could find way
sadness,iamdiddy sad roommate fry chicken every night finished tonight batch
love,know
happiness,ok shower calling name hour think indulge amp respond allow robin
surprise,wow brother might get job
happiness,think ever early sunday meanwhile awaits
happiness,posted let know think really cute cut back
happiness,good morning want breakfast
joy,love people light fresh cigarette come
sadness,trusty almost destroyed face today
surprise,next time go online show club owner golden video hahaha fan mention
fun,forgot set itunes display play count last night understand taylor swift front belinda haha
sadness,forgot put something essential day
happiness,thanks carry craziness
happiness,thanks lady bummer sure
worry,shy cute ily see know lt
hate,quot think yo shit smell quot lil wayne sound song
hate,phone dead suck
sadness,thing ease pain
fun,yea running hour let u test
