Emotion,Text
negative,physically assaulted sexually abused year ago feeling might get away intact even alive produced fear
negative,fact made ashamed felt sadness
negative,laughing loud people people stop mic situation ok get point anyways still find tomorrow perfs
negative,even know going thing folded
positive,pretty excited chosen build new organ church
negative,feeding premature baby month baby chocked working child ward thought killed baby
negative,reason lot drake
negative,holy shit weighed first time since college put pound semester pure
negative,brother friend house nothing happens come back home
negative,totally perhaps marriage
negative,school shooting need stop know quick fix school supposed safe
negative,really plus campaign ending nth degree uninstall game
positive,today eat work paper work lab work paper finish lab eat finish paper
negative,sometimes wish black hair much find hair weave frown sad andry pouting
negative,dad made chocolate marshmallow even lt
positive,sewing walk downstairs make pot coffee find christmas decorating full swing got love daughter
negative,south africa must worried easily get close line know carling jeremy guscott amongst quickest world
negative,massive busted sesh fuck ever break
positive,fresh came home new flat screen
negative,really reason star cross
positive,car searched hell find anything
negative,sad afforded welcome given beirut hostage told deeply moved audience agm last month
positive,last course passed good mark three subject previously failed
positive,hate train ran one missed second saw drive away half hour wait next one oh
negative,light wifi fucking way making dinner
negative,turned fran faint annoyance crossing face
positive,wow sound interesting excuse bit nosy old
negative,realized allergic shampoo great
negative,probably going happen morning gt lt ugh whatever idc anymore skeptical annoyed undecided uneasy hesitant
negative,sickened learn government ec leader issue edinburgh summit sake dropped
negative,experience emotion quite often day angry day got pulled something done happened school day spoken word class monitor written name board remark get signed parent remark resulted spanked
negative,gag hear parent say quot quot skeptical annoyed undecided uneasy hesitant
negative,oh food really bad soup cold meat like leather
negative,moment realize lost one person always needed would admit
positive,listening eternal joy division sad mournful beautiful mixed together division ian curtis
positive,anyway time settle nice plane ride lot russia reading
negative,mo said allowed get picked school tomorrow go today
negative,love caitlyn sad miss switch might die
positive,homework rest night oh laughing loud
negative,anymore take care body hair shit first place
negative,wow rush
positive,brother gave watch
negative,discovering band missed year ago wishing sheltered growing
negative,looked eye saw terrible pain inconsolable grief
positive,thing ruin day real quick
negative,domestic drone anyway ever heard drone attacking wrong target one ever
positive,sure ill sick next baby keep coughing amp sneezing
positive,family picture kid know wait
negative,goin bring want corner coz want end today
positive,sore throat amp feel sick stomach
positive,first comment today
negative,voice tetchy alarmed
negative,friend badly hurt
positive,child born
negative,revrunwisdom afraid tomorrow seen yesterday love today le
positive,good idea smoke act poem class
negative,honestly spent wayyy much money impulse buyer
negative,newsnight making sick hearing action
negative,brother different often grinned home provoked others pleasure made angry
negative,teacher former secondary school forced darling marry girl tried refuse parent would leave alone
negative,came home one day discovered sister borrowed car gotten accident entire front bumper destroyed
negative,unfair unjust attitude toward person close witness caused anger
negative,playing infant game still demanded gratified see flush embarrassment cheek
negative,leo demanded wrenched back stare almost face
positive,letting jesus take control emotion ill feeling
positive,garage full bunch drunk people
negative,received representation matter aware disquiet among group hon gentleman described
positive,god clearly heard asked yesterday surprise week grabe talaga love tear quot gt
positive,saturday duty hour could last people wanted see
negative,realizing girlfriend fact started process breaking
negative,despondent renault worker remarked seems came close something new
negative,received brand new seems hate sim card support tell know wrong frown sad andry pouting
positive,officially hate guess
negative,sachalan free expression revolution
positive,started day building snowman taking picture fallen snow michael buble amp cup tea
negative,oh computer crashed
negative,horrible one thing another
negative,little bit soap entered eye taking bath frown sad andry pouting
negative,fuck going school mean look face
positive,hour drive airport wait airport hour hour plane ride followed hour drive home
positive,eating everything kitchen hm must time month skeptical annoyed undecided uneasy hesitant
negative,concerned room must left durance would wished
positive,great concert w tonight amazing crowd see ya tomorrow night
positive,looking forward nothing weekend apart working thebodyshopuk
positive,younger don ecstatic election
positive,worst city nz grass seed atm never blowing air jan pine pollen
negative,paris dream land must cold almost mid november cold weather still frown sad andry pouting
negative,know mom sometimes sad
negative,mum put water bacardi coke save
positive,danny excited going pop tomorrow passing score christmas budgeting fun
positive,simplicity would make life much better would suck joy life
positive,enjoy friday morning people
negative,left behind broken glass tyre mark road another exasperated shop owner
positive,looking first snow today maybe sheet ice
negative,well cut jay cutler fantasy team
negative,one attractive people met year mo take away
negative,looked away bitter anger eye
positive,almost finished bought present finish poem tonight finish oops
negative,hate people really shit taste music seriously shut
positive,despite liking appearance great indian comedy show always despite
negative,year intend drive snow especially motorway respect mother nature
negative,release detail new access agreement lot new fee great treasury great student
negative,sometime even talk kid give certain look know exactly
negative,want see anymore ever call
negative,know poorly test
positive,guess forgot check weather today idea supposed snow
negative,horrible call lion even show ref already decided happen
positive,right peep got sister ice skating show go
negative,sorry know rule punching
positive,riot police needed quell pitch invasion ecstatic leeds united fan took part street party yesterday team paraded league championship trophy
positive,got engaged boy choice
positive,despite something smooth humour crazy friend pinto
negative,determinedly put worry root despondency behind tried think cheerfully
positive,slice life good relax tool busy stressful day
negative,must another reason sad said looking kindly
negative,way back inter rail board ferry stockholm father called clock tell uncle died would seeing final journey within four day
positive,henry tyler would described happy woman afterward could say seemed unwell
negative,totally woke thought christmas morning
negative,left going back around christmas may birthday party
negative,guy three new box video camera said get rid quick
negative,situation responsibility employee habit late came late promising say would work minute arrived hour later drinking
positive,found idea require draw different picture next day laughing big grin laugh glass oh boy fun
positive,thought waking go work tomorrow make feel sick
positive,ever america
positive,silver lining today though working yummy dinner followed
positive,bad check twitter second basis never know people say
negative,found problem homework would get solved although tried best
positive,computer magically broke getting readyyy
positive,love highest vibration universe sends shiver spine quote love peace joy
positive,feel good back school
positive,sweet lady market complimented outfit said cute probably
negative,know scary realization going make next paycheck yeah payday painful day away
negative,bathsheba watching expression closely never miserable
positive,break house town get birthday cake amp know
positive,headache three day straight
positive,k really homework really want spare start debate
negative,today wrote quot quot list thing gone done actual writing list
negative,learn computer broken march going depressed
negative,ew hate chapel hill mall
positive,thebodyshopuk fact get spend another christmas old nana brings happy face smiley
positive,thing go well elated come depressed true transcends wave circumstance
negative,mccolgan slumped deep dejection said afterwards bad race part
positive,yeah yeah lol amp amp know quot left quot unless come get
positive,creation joy creation know nature joy
negative,cell phone low battery know charger
positive,finally done dusted concentrate xmas card design first sleep
negative,already got christmas present nothing open
negative,song really really like rt drake writing real
negative,uncle died loved much sad felt totally helpless
positive,would give anything nap one day
positive,thebodyshopuk relaxing hot bubble bath complete pamper session brings
negative,foot chair toppling behind face livid knuckle aimed
negative,ever really naughty would sent away mum dad another family age get mum dad legally adopted
negative,facebook hate whatever say get judged people r suppose quot friend quot stick twitter
negative,thought good friend tried lie several time last time height impudence promised would come home felt sense anger insult
positive,sitting next room full personal growth laughter
positive,home year old much mountain dew
negative,got lost coming back guess really know town yet
negative,even sure word express feel game like speechless
negative,wish watch friend late night rerun tradition
positive,going bed getting christmas picture made tomorrow
negative,knee injury till february skeptical annoyed undecided uneasy hesitant mufc
positive,information coming soon right nola new year detail coming tonight
positive,hour car ride
positive,usual bit stalking road work woke quite sunny bodmin whatsapp please babe
positive,wearing new shirt thank mom amp dad awesome surprise eating chili visiting parent cook
negative,summer katie bonnie life bonnie life suck haha laying sad spot
negative,first anne felt indignant joe thought realised good sense warning
negative,anguished princess say morton told one friend price public life price longer willing pay
negative,given exam thought measure ability knowledge subject
negative,wheeler fine face flushed annoyance laughed
positive,tremendous power speak blessing wealth success life
negative,babe mia think cry earlier caused stress hope go something dumb
negative,went lecture cancelled second time one negative attitude towards lecturer
negative,yes probably fair
negative,manipulate one act god give u freedom inspite evil show nofear devil
negative,listened radio long min know
positive,morning weather playing part today dentist later
negative,looking sorry as excuse volleyball game laughing loud smh
positive,behind strained happy smile lie awful knowledge alex saw killer young understand going
negative,norris green bad remember time got stuck ghetto near sainsburys
negative,f ckin thing supposed gone time year show spider
positive,joy unspeakable joy overflowing well tongue tell joy unspeakable joy rise soul never let u go
negative,terribly nervous
negative,everytime hear east coast family make miss even usual
negative,ouch hurt dave really going go cry corner frown sad andry pouting
positive,head killing amp amp got study two hard test tomorrow
negative,sport catch instead fish hook often mistake make angry
negative,work like supposed call text back today still day early x
positive,two week ill b back hand spanish bitch
positive,time long bath inspector morse think pint tea
positive,oh interesting larry rocky
positive,soon result interview nearly people attended three region malawi joy came hearing radio one people selected undergo medical assistant training
negative,yeah bad actually think know
negative,would revulsion tonight business
positive,might pill dick going stop busting beaver lip consensual
negative,phone broken something one want reply text
positive,well leave miss
negative,happens pay card balance left pay cash whatever star
positive,making money event
positive,justinbieber go bieber go bieber party rocker nice big oh sexy know
negative,sure boy wuld soon start toilet new hall boy
positive,ipod dying find charger
negative,told dana could longer bear atmosphere city bully falangist deadening work teaching mostly bored resentful student
positive,gave notice vacate apt morn already looking fwd telling relative still single also po homeless
negative,know always said love
positive,blackberry tom laughing big grin laugh glass woo embarrassed blushing
positive,squashed two fat people fallen asleep
positive,wait go meet matt parent tomorrow new boyfriend eh kind boyfriend wink smirk
positive,roanoke night christmas show brady bunch
negative,quot fear nothing false evidence appearing real telling fear something quot
negative,country walked away others one night suddenly something moved sharply front able see
negative,maybe luck tomorrow lt lt hat without honest
positive,good luck test tomorrow crossing finger
negative,teacher love pile homework right christmas break
negative,meanwhile crowe watching carnage unfold end increasing horror unfurled stroke class attempt ease situation
negative,wait til feel equipped share god done life may never step amp bring others hope
negative,witnessed episode christmas rage wooooo heart watching people lose time year
positive,money motive feel sorry
positive,still dressed need write list long piece string ohhh need find costume sat amp sun
positive,passed exam
positive,earned suspension stupid bourdon ignored really sabre flyer
positive,show someone christmas list christmas list
negative,tblightning cat afraid water therefore panther lightning gobolts
negative,match night v knew could great blew away
negative,ugh rate memphis
negative,dark wood came black man leading horse one arm tall grey hound saddest face ever seen creature
negative,treadmill stress test
negative,clive greenacre put agoraphobic wife started express anger callous behaviour also amazed sexual demand started make
positive,music rick perry ad composed aaron copland gay jewish
negative,saw santa mall yesterday needa take pic
positive,hate finding something watch netflix make cry expecting
negative,well guy worked hard really beautiful
negative,say sum bout behind back sum bout
positive,thanksgiving come christmas music
negative,hearing strange noise biology building
positive,would trade feeling world carrying almost baby week go
negative,night walk home past forest somebody got stabbed forest imagine someone attacking hurry
negative,revrunwisdom afraid tomorrow seen yesterday love today le
negative,failed standard examination first time
negative,sister coma month due train accident disturbed never able walk hardly talk
negative,father phoned come home vacation since longer time look garden animal
negative,wow bomb rt stolen hate
negative,felt wave exasperation rise within
negative,yes give much either still hungry
negative,realized far behind others language course could longer catch others
negative,brother family passed away
positive,certainly
negative,one horrified look told daisy already sunk pastern
positive,check mom closet bet still something
negative,wish motivation homework
negative,get certain job lillehammer wanted much
positive,alain mother finally went inside rueful shake head pleased look face jenna decided risk
positive,gym grind od week got get ready friday night
negative,rt revrunwisdom afraid tomorrow seen yesterday love today le
negative,mean think funny people go normal person rage laughing loud funny anyways
positive,studying history exam day
positive,find make wake morning tie long life live
positive,athelstan gasped excitement went round rouse coroner
negative,live losing lose point malcolm forbes
negative,colleague rude understand subject discussing
negative,hav sadness depression r actually thought interpretation put moment follow
negative,breakup relationship event angry maybe week later
positive,first packer win godfather amc thanksgiving day gawd
positive,terrific thanksgiving hon love peace music wink smirk great one
positive,part feel elated close tear
negative,felt sad give something right mine although get kind souvenir people give right
positive,music part life grew listing kind music amazing sound give amp love amp even sex embarrassed blushing bea
positive,waking lovely math paper awaiting
negative,take know happiness noise appreciate silence amp absence value way hope
negative,insulted public
positive,think christmas people ask want think really dnt know grateful
negative,greed united state
negative,love ups holiday cost comic store business delivering book waaay late
negative,travel alone first time journey train distant place
positive,best thing recent wedding korean know asking going marry girlfriend sarcasm
positive,get ready day library ugh
negative,change clare character much hate
negative,think funny thatboydmckee call bout lakers answer tryna hoop hmm
negative,weekend wanted absent school sport event teacher refused give day like
negative,also remember extremely ashamed racist chant leeds fan coming night
positive,time math homework
negative,helsinki finland ap finnish orchestra friday completed recording work composer jean sibelius vanished century ago miffed criticism
positive,hot chocolate baby grow watching elf
negative,every time walk drain think going drop phone
negative,looked phoebe anguished expression nearly honest repentance
positive,quot rehearsal fusion band tonight excited worship set tom night quot excited tonight happy face smiley
negative,miss old cartoon network
negative,going go vacation texas summer unable go registration
positive,overwhelmed scene
negative,mccolgan slumped deep dejection said afterwards bad race part
positive,obtained good mark subject failed
positive,opened fridge discovered egg put hour ago completely forgotten pure
negative,warning continue give idea attention soon experience janecky loa anxiety
negative,greatest band time creator heavy rock roll satisfaction best song time
negative,get impression arouse anger see one angry respect nixon
negative,really made rule
positive,road recovery start self discovery
negative,overcome physical amp emotional urge arrived mind within sphere brain use
positive,night twitter family sleeping math final mean math ever anatomy turn try kill
positive,study grind calculus start tomorrow
positive,woooooooo ticket successfully printed leave disneyland hr kid still know
positive,absolutely wonderful love much amazing happy face smiley
negative,heartstopping moment think pulled headphone silent library
positive,ok want u bring something
positive,tomorrow going suck as
positive,younglyfe long time coming cuhz joy
positive,warden wife owner siamese cat overjoyed see emily reluctantly fed saucer milk saying could stay one night
positive,best jungle theme party ever need new theme year
negative,distressed anxious separated friend rapidly developed colic
positive,delicious dinner made expert hand waiting home
negative,nothing happened would really thought anything would although nervous tingle finger
negative,let live senior year please give anything
positive,put hope god provides u everything enjoyment
negative,faith equivalent power first move backward second move forward choose
positive,anxiously lovingly though firm precept contrite amp humble heart receive
negative,quot ger one know would happen euro fails quot lt good confidence
negative,child year old died stupid way fell place metre high
negative,gorgeous bitch cuuuuhrazy son
negative,watching sad film affected deeply
negative,brazilian lover looking increasingly disconsolate
negative,well came picked ipod jam session
positive,woooooooo finished unit portfolio start unit sarcastichashtag
negative,told friend mine going mexico good
negative,revrunwisdom afraid tomorrow seen yesterday love today le
positive,okay pretty tired going home soon probs sleep till like class hahaha
negative,poor frightened girl packed thing ran saying going reno divorce
negative,yeah attitude great really sometimes really productive time take last tuesday instance minute late morning meeting
negative,moment heart feel like stabbed hard swallow
negative,tender age eleven friend left party proceeded walk dark secluded street bad neighborhood find telephone recent spate horror movie watching occurred
positive,jenny sat contented smile face interchange mother repressed irritation anger husband remark
positive,text like page worth feeling amp reply shitty as quot sorry quot gt gt gt sike
negative,yea doubt could come new york many law
positive,happy face smiley gt mention fresh destination also provides dedicated room studio
positive,time spent laughing time spent god japanese proverb
positive,baby coming back home today
positive,done work night homework time skeptical annoyed undecided uneasy hesitant
negative,away defence debate dr mowlam also yesterday spoke despair growing homeless problem constituency
positive,really going miss
negative,chosen lecture best friend angry help
negative,one woman already job busy life surprised find sad felt child left home quick succession
negative,loneliness bad effect least expect lowest tolerance want reading
positive,mo wine jesus pas water please thirsty shift
positive,finally apartment something right switched cable provider opened golf channel
negative,keep meeting difficulty experiment hardly go
positive,cry might happen today joy grief
positive,want pillow pet christmas
negative,people say broke computer figured wrong die house fire
negative,mon prof est
negative,soon get back home ready go back campus
positive,monday roll around life school consist either practice chiropractor
negative,get started stupid song around
negative,aggie looked horrified caught sight horse dung hobnailed boot
negative,feeling big hatred boy younger right dweeb
negative,scared went examination hall examination studied limited course thoroughly great doubt whether would asked
negative,sing right sore throat love song
negative,horrible vince young winning tonite stretch end playing qb jet next year
positive,found going sarah bo ny one day happy face smiley
negative,truth mr sad wish stay zoo longer
positive,excited mother oh new baby
negative,got feel sing anyway happy face smiley said former girl child soloist good
negative,mom dad come room think something bed
positive,great holiday wknd got love family moment happy birthday gram family
positive,happy beloved birthday good wonderful day n many husband
negative,weird may ever see friend class today life
positive,look like amp amp wild berry gummies since told u throw happy face smiley
negative,walk town centre long enough invigorate short enough avoid getting miserable cold
positive,whoa got asked cheese sauce good white lasagna
negative,news conference royal geographical society london described mental physical anguish trek
positive,achieved first university long string highest mark awarded pas
positive,blasting ollyofficial dance tonight song brings laughing big grin laugh glass
negative,text someone know read still text back
negative,ohhhh stress guy waste time
negative,funeral friend killed car accident age many friend present well family etc
positive,estate agent overjoyed election result
negative,heartbroken football whole life
negative,doctor looked offended
positive,god tired hour minute left work go school oh
negative,remember fear exist anywhere except mind dale
positive,half day school today tomorrow going instead go dr back
negative,official miss golden brown hair
negative,sneezing simultaneously farting
positive,ok sometimes finding take lot effort time come easily case must use mindfulness find peace lifeisgood
positive,first tweet happy belated birthday love
negative,jasper pressed lip together looked embarrassed
negative,friend mine called home phoned back know wanted told wrong number
negative,nearly knocked cycling
negative,love waking wanting put year old arm bar
positive,oh fuck yes brother moving new room
negative,american horror story head
positive,god must really think handle lot
positive,great state elation
positive,seriously get enough matthew atlas listening quot north quot ep repeat
negative,people think getting loud suppose put heart
negative,wrote must still b tired rt angure rt damn red angure tweet
positive,give faith foot god give wing
negative,revrunwisdom afraid tomorrow seen yesterday love today le quot
negative,could reminded morning
negative,looked furious saw face peering made frantic sign u close curtain
positive,ah getting mood next week great lineup workshop important people ahead people web future
positive,fucking late work
negative,two hyena made cry noise window bedroom home preparing mce examination night
negative,haha mad chick weave laptop
negative,time arrived officialpwg strike heart fan wait iwantwrestling
negative,writing happy monday presentation midnight sunday sure quite happy
negative,saw man scrub shoe rain walking past crazy hospital
negative,would love taste yummy food mom brought taste shit sick
positive,guest arrival woo happy
negative,know get first break painful naive
negative,ah show coming totally missed wood thought
negative,grandfather died realized much would miss
positive,waiting bestie birthday party
negative,theellenshow congrats also copy new book missing last page quot sauna quot chapter
negative,never eating beef chicken anything involving sort meat
negative,student working group showed responsibility interest work
negative,never really paid type attention ryan dunn however stumbled upon tribute special
negative,empathy understanding powerful diffusion tool hr conflict leadership management team
negative,word missing dictionary find let know meaning attached
positive,one favourite past time waiting rain number bus birmingham
negative,spite everything burun felt depressed whole affair could understand
positive,honestly say think ever done shit exam
positive,thing brought tonsillitis lunch office fridge chocolate pudding cup
positive,sunny rainy day work four day thanksgiving
negative,still bed soo tired get lot coursework help help
negative,mother sister sitting sitting room watching film tv father came home drunk told u turn switched fuse started shouting sitting dark afraid would u harm
negative,wise direct towards problem people focus energy answer excuse
positive,time family guy sleep tomorrow shop camcorder
positive,mom decorating whole inside house today
negative,serena torn sisterly love annoyance stella aggressive insecurity
positive,eleanor great bed astonished absolute appeal idea
negative,saddened learn people conference failed develop strategy action
positive,removed lovely looking deeply hateful shoe foot
positive,ever day feel full smile today
positive,working hour wrist ached continuous chopping filled immense exhilaration
negative,okay scared ghost please ever come find
negative,football match went home car friend drove realize drunk car madly racing several time dangerous situation told cautious care
negative,feel love girl life thousand mile away woman
positive,hour mobile software application security meeting awaits
negative,aim government campaign make wholly obedient question always question profit loses
negative,got low mark final
positive,boston tomorrow monster jam add artist suspense
positive,think friend family going big near future
positive,saw tv china gold medal asian olympic
negative,marriage osthryth sister king ecgfrith inhibited bestowing royal favour wilfrid archbishop theodore engineered reconciliation offended party
positive,greatest dancer life practice daily positive habit fun freedom habit
positive,field trip today
negative,people opinion
negative,twitter include whole phrase hashtag sometimes
positive,elated excited another world
negative,one farmer livid could go local national park chop wood barbecue
negative,find perfect journal article essay pay read
positive,hospital visited someone quite unexpected
negative,course silly girl went told livid would nothing
negative,really idea know thought really curl hair
negative,yet significant revulsion amongst general public towards use nuclear weapon save
positive,fully express joy feel someone return smile quot cheerful heart good medicine quot proverb
positive,great washer draining guess got project tomorrow
negative,b healthy early warning system keep u danger important let life b ruled fear
negative,excited new year day till remembered white frowning face get alone
positive,birthday got present desired long time
negative,force heartache amp regret mind sorry could ever enough stockholm insomnia anxiety depression
negative,nevertheless maeve sharp eye missed nothing husband looked exhausted troubled felt agitated
positive,one hour club tomorrow lt
positive,select inspect letter sound quot annoy quot way weigh
positive,ok colin show driving semi
positive,ok call back done
positive,send amp future call forth today
positive,new delux edition feel break
negative,lunch today consisted starbucks taco bell reason belly hurt
negative,bby give back name plate frown sad andry pouting
negative,knuckle hurt damn bad need control
negative,curse phone telling product phone frown sad andry pouting iphone
